mesh 1,mesh 1,mesh 1,nuclide,score,mean,std. dev.
x,y,z,,,,
130,1,1,total,flux,1.0679572096988695e-05,4.324967665308268e-06
130,1,1,total,"(n,Xt)",0.0,0.0
130,1,1,total,heating-local,0.0,0.0
130,1,1,total,absorption,1.6039863025284605e-07,1.3809907292514156e-07
131,1,1,total,flux,1.0607556179610995e-05,4.274465189252239e-06
131,1,1,total,"(n,Xt)",0.0,0.0
131,1,1,total,heating-local,0.0,0.0
131,1,1,total,absorption,1.5726939907548058e-07,1.3498329667505408e-07
132,1,1,total,flux,1.0667857792064892e-05,4.2347379142644e-06
132,1,1,total,"(n,Xt)",0.0,0.0
132,1,1,total,heating-local,0.0,0.0
132,1,1,total,absorption,1.5891289852039133e-07,1.3187099733462782e-07
133,1,1,total,flux,9.851924054873656e-06,3.4805668425647024e-06
133,1,1,total,"(n,Xt)",0.0,0.0
133,1,1,total,heating-local,0.0,0.0
133,1,1,total,absorption,1.596567174613062e-07,1.2916618067582027e-07
134,1,1,total,flux,8.035274118339745e-06,3.188096309442435e-06
134,1,1,total,"(n,Xt)",0.0,0.0
134,1,1,total,heating-local,0.0,0.0
134,1,1,total,absorption,1.4834038202635583e-07,1.271705124897149e-07
135,1,1,total,flux,6.598006790485483e-06,3.302303505312033e-06
135,1,1,total,"(n,Xt)",0.0,0.0
135,1,1,total,heating-local,0.0,0.0
135,1,1,total,absorption,1.4055558381574498e-07,1.2549876063797064e-07
136,1,1,total,flux,7.68703535303889e-06,3.6331089877397754e-06
136,1,1,total,"(n,Xt)",0.0,0.0
136,1,1,total,heating-local,0.0,0.0
136,1,1,total,absorption,1.3846445129614377e-07,1.2341736053542536e-07
137,1,1,total,flux,9.246793057863955e-06,4.573486510472109e-06
137,1,1,total,"(n,Xt)",0.0,0.0
137,1,1,total,heating-local,0.0,0.0
137,1,1,total,absorption,1.4098791617536941e-07,1.2130296190877834e-07
138,1,1,total,flux,1.0035907783832422e-05,4.520421817784445e-06
138,1,1,total,"(n,Xt)",0.0,0.0
138,1,1,total,heating-local,0.0,0.0
138,1,1,total,absorption,1.3953281828101137e-07,1.1948969056201722e-07
139,1,1,total,flux,1.1162089304940378e-05,4.385065336735154e-06
139,1,1,total,"(n,Xt)",0.0,0.0
139,1,1,total,heating-local,0.0,0.0
139,1,1,total,absorption,1.3782700464513e-07,1.1779825686939318e-07
140,1,1,total,flux,1.1681489773866161e-05,4.3315016623743075e-06
140,1,1,total,"(n,Xt)",0.0,0.0
140,1,1,total,heating-local,0.0,0.0
140,1,1,total,absorption,1.3622549561883953e-07,1.1621067369197498e-07
141,1,1,total,flux,1.1652819210415744e-05,4.318155051705112e-06
141,1,1,total,"(n,Xt)",0.0,0.0
141,1,1,total,heating-local,0.0,0.0
141,1,1,total,absorption,1.3471871341530462e-07,1.1471738650320012e-07
142,1,1,total,flux,1.162564390573128e-05,4.30564009264583e-06
142,1,1,total,"(n,Xt)",0.0,0.0
142,1,1,total,heating-local,0.0,0.0
142,1,1,total,absorption,1.3329825035060042e-07,1.1331000905989782e-07
143,1,1,total,flux,1.0826755625181557e-05,3.989553603185262e-06
143,1,1,total,"(n,Xt)",0.0,0.0
143,1,1,total,heating-local,0.0,0.0
143,1,1,total,absorption,8.238901292077296e-08,6.301069418154973e-08
144,1,1,total,flux,9.481550493060807e-06,3.499954440369683e-06
144,1,1,total,"(n,Xt)",0.0,0.0
144,1,1,total,heating-local,0.0,0.0
144,1,1,total,absorption,1.7364625474271568e-08,1.2040330614676312e-08
145,1,1,total,flux,8.524608054121146e-06,2.737307838270726e-06
145,1,1,total,"(n,Xt)",0.0,0.0
145,1,1,total,heating-local,0.0,0.0
145,1,1,total,absorption,1.3815392365129213e-08,9.234501617461058e-09
146,1,1,total,flux,8.520144886444086e-06,2.736649351179318e-06
146,1,1,total,"(n,Xt)",0.0,0.0
146,1,1,total,heating-local,0.0,0.0
146,1,1,total,absorption,1.3812316142265827e-08,9.232580343991792e-09
147,1,1,total,flux,8.275507840480241e-06,2.9268579648191e-06
147,1,1,total,"(n,Xt)",0.0,0.0
147,1,1,total,heating-local,0.0,0.0
147,1,1,total,absorption,3.6450778066397877e-07,3.5464362445250816e-07
148,1,1,total,flux,9.28403945185734e-06,3.660430703816962e-06
148,1,1,total,"(n,Xt)",0.0,0.0
148,1,1,total,heating-local,0.0,0.0
148,1,1,total,absorption,1.3463172890436434e-06,1.3381649198509832e-06
149,1,1,total,flux,1.0006034898677171e-05,3.6545873351652955e-06
149,1,1,total,"(n,Xt)",0.0,0.0
149,1,1,total,heating-local,0.0,0.0
149,1,1,total,absorption,1.335296549975095e-06,1.32208451162619e-06
150,1,1,total,flux,1.0331860537078656e-05,3.82573399969542e-06
150,1,1,total,"(n,Xt)",0.0,0.0
150,1,1,total,heating-local,0.0,0.0
150,1,1,total,absorption,1.3216423774275471e-06,1.307214969313692e-06
151,1,1,total,flux,1.0360413020603706e-05,3.779323593814726e-06
151,1,1,total,"(n,Xt)",0.0,0.0
151,1,1,total,heating-local,0.0,0.0
151,1,1,total,absorption,1.308083026030795e-06,1.2931768259134376e-06
152,1,1,total,flux,1.2225082554250724e-05,3.446262305777506e-06
152,1,1,total,"(n,Xt)",0.0,0.0
152,1,1,total,heating-local,0.0,0.0
152,1,1,total,absorption,1.3751791615218164e-06,1.2728550373359462e-06
153,1,1,total,flux,1.218718954416137e-05,3.1975453743137985e-06
153,1,1,total,"(n,Xt)",0.0,0.0
153,1,1,total,heating-local,0.0,0.0
153,1,1,total,absorption,1.4130383500310438e-06,1.2584067091693682e-06
154,1,1,total,flux,1.1103196300132765e-05,2.9329069962781884e-06
154,1,1,total,"(n,Xt)",0.0,0.0
154,1,1,total,heating-local,0.0,0.0
154,1,1,total,absorption,1.4009201267188705e-06,1.2464352826222038e-06
155,1,1,total,flux,1.384975997036592e-05,3.519768367358757e-06
155,1,1,total,"(n,Xt)",0.0,0.0
155,1,1,total,heating-local,0.0,0.0
155,1,1,total,absorption,1.2421900213584532e-06,1.0886347319822176e-06
156,1,1,total,flux,1.680316086163146e-05,6.883831815507227e-06
156,1,1,total,"(n,Xt)",0.0,0.0
156,1,1,total,heating-local,0.0,0.0
156,1,1,total,absorption,1.766958678530323e-07,1.210070500018928e-07
157,1,1,total,flux,1.775209875567459e-05,8.095208234310732e-06
157,1,1,total,"(n,Xt)",0.0,0.0
157,1,1,total,heating-local,0.0,0.0
157,1,1,total,absorption,1.8354020149170655e-07,1.2213951929307566e-07
158,1,1,total,flux,1.5343113346489684e-05,5.941414974244739e-06
158,1,1,total,"(n,Xt)",0.0,0.0
158,1,1,total,heating-local,0.0,0.0
158,1,1,total,absorption,1.834128870500282e-07,1.2211939132622754e-07
159,1,1,total,flux,1.5288564419398077e-05,5.916544605284171e-06
159,1,1,total,"(n,Xt)",0.0,0.0
159,1,1,total,heating-local,0.0,0.0
159,1,1,total,absorption,1.8328977131347346e-07,1.2209954917170588e-07
160,1,1,total,flux,1.4256920233489789e-05,6.033281349962137e-06
160,1,1,total,"(n,Xt)",0.0,0.0
160,1,1,total,heating-local,0.0,0.0
160,1,1,total,absorption,1.5095416615860545e-07,1.2014490785848587e-07
161,1,1,total,flux,1.4747203903154221e-05,6.058546900617745e-06
161,1,1,total,"(n,Xt)",0.0,0.0
161,1,1,total,heating-local,0.0,0.0
161,1,1,total,absorption,1.8718719561666975e-07,1.6418077543687697e-07
162,1,1,total,flux,1.4747630047036437e-05,5.290059121538932e-06
162,1,1,total,"(n,Xt)",0.0,0.0
162,1,1,total,heating-local,0.0,0.0
162,1,1,total,absorption,3.007884134258035e-07,2.793158323885993e-07
163,1,1,total,flux,9.539986606349872e-06,4.351608617084957e-06
163,1,1,total,"(n,Xt)",0.0,0.0
163,1,1,total,heating-local,0.0,0.0
163,1,1,total,absorption,2.896815293158413e-07,2.800872041744996e-07
164,1,1,total,flux,9.150806361907505e-06,4.398090507362139e-06
164,1,1,total,"(n,Xt)",0.0,0.0
164,1,1,total,heating-local,0.0,0.0
164,1,1,total,absorption,2.8924472494029307e-07,2.797340011589813e-07
165,1,1,total,flux,9.12028407138768e-06,4.381507887936392e-06
165,1,1,total,"(n,Xt)",0.0,0.0
165,1,1,total,heating-local,0.0,0.0
165,1,1,total,absorption,2.888915251624694e-07,2.793810150522818e-07
166,1,1,total,flux,9.09123824317482e-06,4.365764659575472e-06
166,1,1,total,"(n,Xt)",0.0,0.0
166,1,1,total,heating-local,0.0,0.0
166,1,1,total,absorption,2.885468289312506e-07,2.7903652802755456e-07
167,1,1,total,flux,9.995482751380007e-06,4.233303105810125e-06
167,1,1,total,"(n,Xt)",0.0,0.0
167,1,1,total,heating-local,0.0,0.0
167,1,1,total,absorption,3.0847116486339577e-07,2.771041175795151e-07
168,1,1,total,flux,1.0250581859055409e-05,4.223861313725438e-06
168,1,1,total,"(n,Xt)",0.0,0.0
168,1,1,total,heating-local,0.0,0.0
168,1,1,total,absorption,3.142631852215734e-07,2.765848579181701e-07
169,1,1,total,flux,1.0051658397678602e-05,3.765557512643421e-06
169,1,1,total,"(n,Xt)",0.0,0.0
169,1,1,total,heating-local,0.0,0.0
169,1,1,total,absorption,2.850415654759712e-07,2.4582793971790586e-07
170,1,1,total,flux,1.2396127949197938e-05,3.528162587798561e-06
170,1,1,total,"(n,Xt)",0.0,0.0
170,1,1,total,heating-local,0.0,0.0
170,1,1,total,absorption,1.826113638364492e-07,1.1915297651501836e-07
171,1,1,total,flux,1.3545312196171016e-05,3.689810645905822e-06
171,1,1,total,"(n,Xt)",0.0,0.0
171,1,1,total,heating-local,0.0,0.0
171,1,1,total,absorption,1.894137352832394e-07,1.1898951281293235e-07
172,1,1,total,flux,1.4108787990876212e-05,3.7880509892752427e-06
172,1,1,total,"(n,Xt)",0.0,0.0
172,1,1,total,heating-local,0.0,0.0
172,1,1,total,absorption,1.8605767018321413e-07,1.192938672717977e-07
173,1,1,total,flux,1.1620637410342062e-05,3.7606692262965486e-06
173,1,1,total,"(n,Xt)",0.0,0.0
173,1,1,total,heating-local,0.0,0.0
173,1,1,total,absorption,1.7953879861358565e-07,1.201477446094696e-07
174,1,1,total,flux,1.1524798905361672e-05,3.717798268324732e-06
174,1,1,total,"(n,Xt)",0.0,0.0
174,1,1,total,heating-local,0.0,0.0
174,1,1,total,absorption,1.7901463951695957e-07,1.2015428078119942e-07
175,1,1,total,flux,1.5769861310075245e-05,4.951506583865939e-06
175,1,1,total,"(n,Xt)",0.0,0.0
175,1,1,total,heating-local,0.0,0.0
175,1,1,total,absorption,1.8747229471050683e-07,1.2193242082083316e-07
176,1,1,total,flux,1.0441884680938613e-05,4.515559177350784e-06
176,1,1,total,"(n,Xt)",0.0,0.0
176,1,1,total,heating-local,0.0,0.0
176,1,1,total,absorption,3.2166811830113207e-07,2.0433936912141164e-07
177,1,1,total,flux,1.0420185512940889e-05,4.504621124570592e-06
177,1,1,total,"(n,Xt)",0.0,0.0
177,1,1,total,heating-local,0.0,0.0
177,1,1,total,absorption,3.2100867227236555e-07,2.0395431925190754e-07
178,1,1,total,flux,1.0008026827319744e-05,5.170704990559304e-06
178,1,1,total,"(n,Xt)",5.145667846945774e-17,2.4879888949608068e-17
178,1,1,total,heating-local,0.044606204925753956,0.021478757869262382
178,1,1,total,absorption,3.336145540878873e-07,2.102118403292897e-07
179,1,1,total,flux,1.471090398271468e-05,6.4627556244112685e-06
179,1,1,total,"(n,Xt)",4.520927048435688e-16,3.381032983276786e-16
179,1,1,total,heating-local,0.35218291447633276,0.29229803243289587
179,1,1,total,absorption,4.0754189677709635e-07,2.1755166972841292e-07
180,1,1,total,flux,2.396001340113302e-05,9.280150717172828e-06
180,1,1,total,"(n,Xt)",5.693151186997234e-16,4.749232938521704e-16
180,1,1,total,heating-local,0.48934358322068316,0.4072131112851692
180,1,1,total,absorption,3.188271421145812e-06,2.118124213675811e-06
181,1,1,total,flux,3.476749114873453e-05,1.4515466238151757e-05
181,1,1,total,"(n,Xt)",9.024989691065907e-08,4.246793759755899e-08
181,1,1,total,heating-local,0.5722980882439852,0.2700960530886013
181,1,1,total,absorption,7.645792882584164e-06,4.479750426478914e-06
182,1,1,total,flux,4.75986998768088e-05,1.5630860453563267e-05
182,1,1,total,"(n,Xt)",2.5290656887517614e-07,9.74838163299217e-08
182,1,1,total,heating-local,1.2179442394318596,0.46515505593199025
182,1,1,total,absorption,4.209656204929217e-07,1.3115447649306915e-07
183,1,1,total,flux,4.823209171905079e-05,1.710156197667881e-05
183,1,1,total,"(n,Xt)",5.820173238642896e-07,3.177701697523319e-07
183,1,1,total,heating-local,2.7882952067357345,1.5210899732233436
183,1,1,total,absorption,7.154991577946799e-07,3.5321002363207277e-07
184,1,1,total,flux,4.396131691447885e-05,1.3679231939580329e-05
184,1,1,total,"(n,Xt)",3.083602728559333e-07,1.3219598719149147e-07
184,1,1,total,heating-local,1.476939404472035,0.6329228966026554
184,1,1,total,absorption,9.356519626287331e-07,4.875323502628387e-07
185,1,1,total,flux,6.587717427688946e-05,2.5992655526116775e-05
185,1,1,total,"(n,Xt)",5.744045050775382e-07,2.2830411135208574e-07
185,1,1,total,heating-local,2.752016385128628,1.0940543894509007
185,1,1,total,absorption,1.318425481394044e-06,6.16285717074657e-07
186,1,1,total,flux,6.856731405779408e-05,2.7644296067464668e-05
186,1,1,total,"(n,Xt)",4.1412114964320076e-07,1.7026427749667026e-07
186,1,1,total,heating-local,2.534945208217132,0.9144323377340466
186,1,1,total,absorption,7.049264206363909e-07,3.48985765584726e-07
187,1,1,total,flux,5.9793800291804656e-05,1.8575450697675433e-05
187,1,1,total,"(n,Xt)",2.99059775117936e-07,1.1122034626439684e-07
187,1,1,total,heating-local,2.5291012893808342,1.2441724073766225
187,1,1,total,absorption,5.63152932311001e-07,1.9020044490195715e-07
188,1,1,total,flux,6.042827213330504e-05,1.6921684333288814e-05
188,1,1,total,"(n,Xt)",3.1743994153556174e-07,8.798899571185877e-08
188,1,1,total,heating-local,2.705321656392317,1.1485475607560494
188,1,1,total,absorption,6.377930215435157e-07,2.461832439317808e-07
189,1,1,total,flux,7.881303119823516e-05,2.496890181773027e-05
189,1,1,total,"(n,Xt)",4.821757528829125e-07,1.778492934964623e-07
189,1,1,total,heating-local,3.5024486458848294,1.265481983298214
189,1,1,total,absorption,6.482928729732788e-07,2.401760809987312e-07
190,1,1,total,flux,8.564381639704364e-05,2.21854612942277e-05
190,1,1,total,"(n,Xt)",7.345127364283569e-07,2.6766705556858137e-07
190,1,1,total,heating-local,4.555486099698362,1.3325785950954432
190,1,1,total,absorption,9.68684035893402e-07,3.2318362181950117e-07
191,1,1,total,flux,0.00010010249852533267,2.48446055585674e-05
191,1,1,total,"(n,Xt)",7.198352398866737e-07,2.567601427731663e-07
191,1,1,total,heating-local,3.850458547856636,1.1592838810639265
191,1,1,total,absorption,1.560307418185146e-06,3.8155577830936875e-07
192,1,1,total,flux,0.00012261117090690718,2.931081238183574e-05
192,1,1,total,"(n,Xt)",8.37091814146453e-07,2.5516797507498744e-07
192,1,1,total,heating-local,4.365754269483221,1.1586383184014089
192,1,1,total,absorption,1.5931020503316186e-06,4.300008987875698e-07
193,1,1,total,flux,0.00012740930095010022,2.778255995350771e-05
193,1,1,total,"(n,Xt)",1.045319471900158e-06,2.971501517049157e-07
193,1,1,total,heating-local,5.367385117754438,1.350572833906454
193,1,1,total,absorption,2.233750692306233e-06,6.879040691297374e-07
194,1,1,total,flux,0.00014091676162073321,2.784483681455997e-05
194,1,1,total,"(n,Xt)",9.598257032021555e-07,1.9973877990638717e-07
194,1,1,total,heating-local,5.184070528991358,0.8920292670484522
194,1,1,total,absorption,2.260712500409274e-06,4.757587592668313e-07
195,1,1,total,flux,0.00018077080445218848,2.4764653633361248e-05
195,1,1,total,"(n,Xt)",1.0539427279188544e-06,2.0840786803309542e-07
195,1,1,total,heating-local,5.766849305508021,0.9585244465640429
195,1,1,total,absorption,3.7914447488098532e-06,1.0856835022645412e-06
196,1,1,total,flux,0.00019392591569431815,2.0709943859132194e-05
196,1,1,total,"(n,Xt)",1.238059527076025e-06,3.8045474501295336e-07
196,1,1,total,heating-local,6.727637255142343,1.7580451812077778
196,1,1,total,absorption,4.53755627368291e-06,1.1298077460163269e-06
197,1,1,total,flux,0.00018156577206691993,2.1709357579649323e-05
197,1,1,total,"(n,Xt)",1.0947701450885193e-06,3.679191440875209e-07
197,1,1,total,heating-local,5.899707102334903,1.6991237321958976
197,1,1,total,absorption,2.916352385753824e-06,6.89336674059391e-07
198,1,1,total,flux,0.00019668622902711694,2.263629189554846e-05
198,1,1,total,"(n,Xt)",7.795114708104557e-07,2.1691718391603014e-07
198,1,1,total,heating-local,4.522630764155481,1.091815964496604
198,1,1,total,absorption,2.7524509287742468e-06,6.307083000818827e-07
199,1,1,total,flux,0.00022310942712958702,2.8532960286619175e-05
199,1,1,total,"(n,Xt)",1.1446194559444402e-06,3.6981871635356337e-07
199,1,1,total,heating-local,6.780631174175649,1.7850025683904052
199,1,1,total,absorption,2.810991934971061e-06,5.473355752402661e-07
200,1,1,total,flux,0.0002589481616403256,3.253265774385175e-05
200,1,1,total,"(n,Xt)",1.2205728265813277e-06,2.713520737505243e-07
200,1,1,total,heating-local,7.394016818241399,1.4758947318222095
200,1,1,total,absorption,3.0800846275308955e-06,7.526092798911482e-07
201,1,1,total,flux,0.00030930857026005435,3.997155074521675e-05
201,1,1,total,"(n,Xt)",1.3886118828776225e-06,2.6158682916691545e-07
201,1,1,total,heating-local,8.690491771629063,1.2795003513337813
201,1,1,total,absorption,2.9320268526286247e-06,5.454857988590632e-07
202,1,1,total,flux,0.0003693662290215179,4.469338808146876e-05
202,1,1,total,"(n,Xt)",1.5888791155031175e-06,3.3515049818578936e-07
202,1,1,total,heating-local,9.587396719340088,1.6744790015309259
202,1,1,total,absorption,4.608076954717767e-06,9.675342413039936e-07
203,1,1,total,flux,0.00039418615480212634,4.576129190992835e-05
203,1,1,total,"(n,Xt)",1.8944535232258492e-06,3.6399746215656645e-07
203,1,1,total,heating-local,13.439478531079804,2.397872403183838
203,1,1,total,absorption,5.529720791694246e-06,1.4351742236942013e-06
204,1,1,total,flux,0.0005169558966348798,9.764520044674798e-05
204,1,1,total,"(n,Xt)",3.2158375960073796e-06,1.0062172998741198e-06
204,1,1,total,heating-local,18.29363914421075,4.699675140267403
204,1,1,total,absorption,6.125824841446905e-06,1.6011249835254708e-06
205,1,1,total,flux,0.0005099466374955639,8.778363482261956e-05
205,1,1,total,"(n,Xt)",2.1352904345357686e-06,3.867461179446444e-07
205,1,1,total,heating-local,13.889856065241304,1.8573503730170158
205,1,1,total,absorption,6.48261446947078e-06,1.653674001351501e-06
206,1,1,total,flux,0.0005426385244496889,0.00010410359721862587
206,1,1,total,"(n,Xt)",3.087653900326181e-06,6.869371693544845e-07
206,1,1,total,heating-local,17.78678494488187,3.593202977619481
206,1,1,total,absorption,7.825349926745644e-06,2.1103022205161602e-06
207,1,1,total,flux,0.0005865724208560308,0.00010047131200107222
207,1,1,total,"(n,Xt)",2.9609414016287564e-06,5.698805104072133e-07
207,1,1,total,heating-local,17.79139339345878,2.992121735634642
207,1,1,total,absorption,9.746384054423586e-06,2.2581090224515854e-06
208,1,1,total,flux,0.0005509202687011331,5.8280251290885606e-05
208,1,1,total,"(n,Xt)",2.662522757824856e-06,5.27658408175274e-07
208,1,1,total,heating-local,16.092823610088423,2.3780411533358303
208,1,1,total,absorption,9.40499474080652e-06,1.6708347480179181e-06
209,1,1,total,flux,0.0006611047223514286,7.230634223953022e-05
209,1,1,total,"(n,Xt)",3.6375735751389673e-06,8.395673753994109e-07
209,1,1,total,heating-local,22.393834264346058,4.338026666836835
209,1,1,total,absorption,1.0137396786468975e-05,1.3646058308837861e-06
210,1,1,total,flux,0.0007274465104978778,9.149767219636886e-05
210,1,1,total,"(n,Xt)",4.754463074690439e-06,1.7396851347219729e-06
210,1,1,total,heating-local,28.13425580032844,8.479239881752022
210,1,1,total,absorption,1.2751080255970642e-05,1.3993453490472178e-06
211,1,1,total,flux,0.0008053542931133982,8.238250782054579e-05
211,1,1,total,"(n,Xt)",4.4960356448482585e-06,1.0182720257031067e-06
211,1,1,total,heating-local,28.131092199536504,5.381037953481897
211,1,1,total,absorption,1.505844393256506e-05,2.6268333564129915e-06
212,1,1,total,flux,0.0008544098887265827,8.987062631780704e-05
212,1,1,total,"(n,Xt)",5.086057985215862e-06,1.0499297853397274e-06
212,1,1,total,heating-local,30.8991306924161,5.212001372260887
212,1,1,total,absorption,1.5800477056450547e-05,2.402086329703769e-06
213,1,1,total,flux,0.0008809785974560639,7.361122585945393e-05
213,1,1,total,"(n,Xt)",4.48792807572164e-06,8.70381888217296e-07
213,1,1,total,heating-local,31.391109818922832,3.3491935149091745
213,1,1,total,absorption,1.4417773604007752e-05,1.6713996896551836e-06
214,1,1,total,flux,0.0009716010128512614,0.00010365724761514374
214,1,1,total,"(n,Xt)",4.276455709801196e-06,7.08606780706285e-07
214,1,1,total,heating-local,31.05707818661629,3.7072361407136047
214,1,1,total,absorption,1.595704366039686e-05,3.6977768727271536e-06
215,1,1,total,flux,0.0009870089275494918,8.087366983586564e-05
215,1,1,total,"(n,Xt)",5.0042986668523546e-06,7.906428850501639e-07
215,1,1,total,heating-local,38.62989575717694,6.592199616509666
215,1,1,total,absorption,1.6937680497059575e-05,2.3596742921724465e-06
216,1,1,total,flux,0.0010310223887495642,7.508936046277191e-05
216,1,1,total,"(n,Xt)",5.168563360644881e-06,8.265477647825658e-07
216,1,1,total,heating-local,39.21101535656842,6.119262984527422
216,1,1,total,absorption,1.8671321355291513e-05,2.5700689276635087e-06
217,1,1,total,flux,0.0010813445798757474,6.540094776006397e-05
217,1,1,total,"(n,Xt)",4.670494909270598e-06,6.887144374292771e-07
217,1,1,total,heating-local,34.150942882718276,2.7070709830983484
217,1,1,total,absorption,1.7325981741998678e-05,1.2294024520492408e-06
218,1,1,total,flux,0.0011010333707221283,3.715659240708987e-05
218,1,1,total,"(n,Xt)",5.662994487759558e-06,8.846278056325963e-07
218,1,1,total,heating-local,39.41380871180744,2.869922685028719
218,1,1,total,absorption,2.1625854459320312e-05,4.270221783057711e-06
219,1,1,total,flux,0.0012151212787388376,6.895100176046781e-05
219,1,1,total,"(n,Xt)",5.235388184223155e-06,6.553755014394392e-07
219,1,1,total,heating-local,39.00543579315839,3.171083856691416
219,1,1,total,absorption,1.823926845968494e-05,1.9989194422931433e-06
220,1,1,total,flux,0.0013499859869952437,6.47434195098033e-05
220,1,1,total,"(n,Xt)",5.492275030210431e-06,7.918276208374487e-07
220,1,1,total,heating-local,40.90232624112248,5.359292326315264
220,1,1,total,absorption,2.2477273757967387e-05,2.1663761240294453e-06
221,1,1,total,flux,0.0015948773876881806,5.027432795562112e-05
221,1,1,total,"(n,Xt)",6.3260048166588745e-06,9.135783895864946e-07
221,1,1,total,heating-local,50.888019941698026,6.341991543606386
221,1,1,total,absorption,2.6734863748492372e-05,2.341996977092051e-06
222,1,1,total,flux,0.0016536814955913416,9.502602575139369e-05
222,1,1,total,"(n,Xt)",6.443344288754745e-06,8.007194510329528e-07
222,1,1,total,heating-local,54.17350660398681,6.095659321274689
222,1,1,total,absorption,2.8019040647829744e-05,4.298893351900303e-06
223,1,1,total,flux,0.001799590863870232,0.00011995570609926266
223,1,1,total,"(n,Xt)",7.493038410928703e-06,7.498546589102912e-07
223,1,1,total,heating-local,55.46731920780663,4.634094378443
223,1,1,total,absorption,3.0106594986711395e-05,4.321622556567177e-06
224,1,1,total,flux,0.0019570113885194864,0.00011275365019408786
224,1,1,total,"(n,Xt)",1.0172078373598268e-05,4.742303731034715e-07
224,1,1,total,heating-local,68.48809708218674,3.3636890029119133
224,1,1,total,absorption,3.405244099110986e-05,3.35985616069496e-06
225,1,1,total,flux,0.002013524148514376,0.00012788478223136254
225,1,1,total,"(n,Xt)",9.170294632482191e-06,7.031506497476089e-07
225,1,1,total,heating-local,66.90103078436286,6.499714392380316
225,1,1,total,absorption,3.3413267811417127e-05,3.38511172640005e-06
226,1,1,total,flux,0.0021503998760452237,0.00011896531671402906
226,1,1,total,"(n,Xt)",1.0445843087467016e-05,1.2644459944486256e-06
226,1,1,total,heating-local,72.46935634450348,6.308157794108354
226,1,1,total,absorption,3.812410542489496e-05,3.4505976333646407e-06
227,1,1,total,flux,0.0023358245841682288,0.00013209092659844694
227,1,1,total,"(n,Xt)",1.1369463262266187e-05,1.7385611464566387e-06
227,1,1,total,heating-local,82.02105871444141,9.999922504777663
227,1,1,total,absorption,3.556024814622582e-05,3.500127471261693e-06
228,1,1,total,flux,0.002441275018464971,9.702067476951988e-05
228,1,1,total,"(n,Xt)",1.1530692461938272e-05,1.314724037369156e-06
228,1,1,total,heating-local,86.02960045220684,9.217504401448329
228,1,1,total,absorption,3.729694109249383e-05,2.7125545170379964e-06
229,1,1,total,flux,0.0025958966141048844,7.271401734260325e-05
229,1,1,total,"(n,Xt)",1.1981187905320531e-05,1.424404769218339e-06
229,1,1,total,heating-local,96.31168112101794,11.345108915243609
229,1,1,total,absorption,3.5838127486671066e-05,2.4961201098549744e-06
230,1,1,total,flux,0.002726096303090236,0.00010979412250830966
230,1,1,total,"(n,Xt)",1.3363947210067608e-05,1.5300990185244144e-06
230,1,1,total,heating-local,107.47104395756818,12.929489217685285
230,1,1,total,absorption,4.2422169533090306e-05,3.4992635250114144e-06
231,1,1,total,flux,0.0030538064277846446,9.234624109381025e-05
231,1,1,total,"(n,Xt)",1.4911542892311728e-05,1.2546617529932806e-06
231,1,1,total,heating-local,114.02104903885979,10.434177849938962
231,1,1,total,absorption,4.991860399672866e-05,6.104659662080932e-06
232,1,1,total,flux,0.003270709863662026,7.935951895833932e-05
232,1,1,total,"(n,Xt)",1.5283116065459306e-05,1.2010707304442202e-06
232,1,1,total,heating-local,114.50655102785625,9.383614730208285
232,1,1,total,absorption,4.782065367908566e-05,3.6194013616434407e-06
233,1,1,total,flux,0.0035879950616919632,0.00014872834720191147
233,1,1,total,"(n,Xt)",1.6794847786911175e-05,1.0081469581546187e-06
233,1,1,total,heating-local,131.5333452709934,8.312290525604771
233,1,1,total,absorption,5.476367280183252e-05,4.303951497796187e-06
234,1,1,total,flux,0.003853539578943661,0.00014032309554316906
234,1,1,total,"(n,Xt)",1.7756282721472065e-05,7.092133422888555e-07
234,1,1,total,heating-local,138.93063550050445,7.86069263305425
234,1,1,total,absorption,5.4895171690312767e-05,2.507452848646641e-06
235,1,1,total,flux,0.004208787984341109,6.810621389047457e-05
235,1,1,total,"(n,Xt)",1.931329248941425e-05,1.0630005170562844e-06
235,1,1,total,heating-local,149.11792523893456,8.230244972960307
235,1,1,total,absorption,6.162478802758144e-05,4.648244956210982e-06
236,1,1,total,flux,0.004542199002701415,0.00010771412852133777
236,1,1,total,"(n,Xt)",1.989440711144029e-05,9.039561102257773e-07
236,1,1,total,heating-local,155.2500117903062,7.442418155593467
236,1,1,total,absorption,7.113576904937718e-05,4.6609289881693365e-06
237,1,1,total,flux,0.005048360914712673,0.00011318524105786086
237,1,1,total,"(n,Xt)",2.084411030158085e-05,1.208191259847551e-06
237,1,1,total,heating-local,160.3533026935628,8.087827544993335
237,1,1,total,absorption,8.237140370691902e-05,4.312063979934537e-06
238,1,1,total,flux,0.005210052510943802,0.00016717383836487132
238,1,1,total,"(n,Xt)",2.2492344046235268e-05,1.2718125978555277e-06
238,1,1,total,heating-local,175.9880255038738,6.919269015638776
238,1,1,total,absorption,8.883404016966971e-05,5.2201419621418464e-06
239,1,1,total,flux,0.005528853472716972,0.0001483069139455374
239,1,1,total,"(n,Xt)",2.3988909914113126e-05,1.0382313135331692e-06
239,1,1,total,heating-local,190.77972315541456,9.113908703089944
