mesh 1,mesh 1,mesh 1,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
x,y,z,,,,,,,
17,1,1,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
17,1,1,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
17,1,1,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
18,1,1,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
18,1,1,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
18,1,1,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
18,1,1,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
18,1,1,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
19,1,1,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
19,1,1,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
19,1,1,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
19,1,1,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
19,1,1,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
20,1,1,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
20,1,1,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
20,1,1,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
20,1,1,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
20,1,1,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
21,1,1,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
21,1,1,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
21,1,1,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
21,1,1,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
21,1,1,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
22,1,1,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
22,1,1,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
22,1,1,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
22,1,1,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
22,1,1,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
23,1,1,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
23,1,1,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
23,1,1,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
23,1,1,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
23,1,1,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
24,1,1,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
24,1,1,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
24,1,1,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
24,1,1,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
24,1,1,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
1,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
1,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
1,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
1,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
1,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
2,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
2,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
2,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
2,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
2,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
3,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
3,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
3,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
3,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
3,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
4,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
4,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
4,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
4,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
4,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
5,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
5,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
5,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
5,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
5,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
6,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
6,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
6,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
6,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
6,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
7,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
7,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
7,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
7,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
7,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
8,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
8,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
8,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
8,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
8,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
9,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
9,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
9,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
9,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
9,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
10,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
10,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
10,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
10,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
10,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
11,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
11,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
11,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
11,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
11,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
12,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
12,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
12,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
12,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
12,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
13,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
13,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
13,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
13,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
13,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
14,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
14,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
14,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
14,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
14,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
15,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
15,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
15,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
15,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
15,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
16,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
16,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
16,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
16,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
16,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
17,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
17,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
17,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
17,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
17,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
18,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
18,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
18,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
18,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
18,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
19,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
19,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
19,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
19,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
19,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
20,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
20,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
20,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
20,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
20,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
21,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
21,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
21,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
21,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
21,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
22,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
22,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
22,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
22,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
22,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
23,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
23,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
23,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
23,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
23,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
24,1,2,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
24,1,2,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
24,1,2,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
24,1,2,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
24,1,2,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
1,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
1,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
1,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
1,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
1,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
2,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
2,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
2,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
2,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
2,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
3,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
3,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
3,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
3,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
3,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
4,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
4,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
4,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
4,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
4,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
5,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
5,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
5,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
5,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
5,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
6,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
6,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
6,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
6,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
6,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
7,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
7,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
7,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
7,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
7,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
8,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
8,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
8,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
8,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
8,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
9,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
9,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
9,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
9,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
9,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
10,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
10,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
10,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
10,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
10,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
11,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
11,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
11,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
11,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
11,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
12,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
12,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
12,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
12,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
12,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
13,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
13,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
13,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
13,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
13,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
14,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
14,1,3,28.853998118144272,832.5532074018732,neutron,total,flux,0.0,0.0
14,1,3,832.5532074018732,24022.488679628626,neutron,total,flux,0.0,0.0
14,1,3,24022.488679628626,693144.8431551465,neutron,total,flux,0.0,0.0
14,1,3,693144.8431551465,20000000.000000004,neutron,total,flux,0.0,0.0
15,1,3,1.0,28.853998118144272,neutron,total,flux,0.0,0.0
