mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
1,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
1,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
1,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
2,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
2,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
2,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
3,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
3,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
3,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
4,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
4,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
4,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
5,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
5,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
5,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
6,1,1,1.0,10000000.0,neutron,total,flux,7.919469953371599e-07,7.919469953371599e-07
6,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
6,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
7,1,1,1.0,10000000.0,neutron,total,flux,8.57577735757687e-08,8.57577735757687e-08
7,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
7,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
8,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
8,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
8,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
9,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
9,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
9,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
10,1,1,1.0,10000000.0,neutron,total,flux,6.897209668322473e-07,6.897209668322474e-07
10,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
10,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
11,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
11,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
11,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
12,1,1,1.0,10000000.0,neutron,total,flux,1.215772280532439e-06,1.215772280532439e-06
12,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
12,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
13,1,1,1.0,10000000.0,neutron,total,flux,1.1731651039636849e-07,1.1731651039636849e-07
13,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
13,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
14,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
14,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
14,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
15,1,1,1.0,10000000.0,neutron,total,flux,2.2623149411432894e-07,2.2623149411432894e-07
15,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
15,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
16,1,1,1.0,10000000.0,neutron,total,flux,5.540682654980401e-07,5.540682654980401e-07
16,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
16,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
